Echo A : BASELI~1.DTA   
Time Period: 0.04-20.48msec
   No.  A (mPa)  An (mPa)
  228   -0.0528  -0.0048
  229   -0.0163  -0.0053
  230    0.0211  -0.0125
  231    0.0622  -0.0137
  232    0.0890  -0.0072
  233    0.0782  -0.0036
  234    0.0408  -0.0125
  235   -0.0101  -0.0079
  236   -0.0514   0.0000
  237   -0.0802   0.0120
  238   -0.0799   0.0062
  239   -0.0593  -0.0067
  240   -0.0216   0.0046
  241    0.0206   0.0182
  242    0.0528   0.0307
  243    0.0725   0.0350
  244    0.0677   0.0175
  245    0.0530   0.0230
  246    0.0300   0.0214
  247    0.0026   0.0125
  248   -0.0228   0.0038
  249   -0.0370   0.0125
  250   -0.0353   0.0235
  251   -0.0223   0.0370
  252   -0.0094   0.0175
  253    0.0017  -0.0072
  254    0.0041  -0.0103
  255    0.0043  -0.0163
  256   -0.0098  -0.0084
  257   -0.0158   0.0108
  258   -0.0053   0.0077
  259    0.0158  -0.0058
  260    0.0274  -0.0144
  261    0.0216  -0.0125
  262    0.0127  -0.0089
  263   -0.0098  -0.0072
  264   -0.0298  -0.0007
  265   -0.0444  -0.0079
  266   -0.0566  -0.0110
  267   -0.0670  -0.0053
  268   -0.0636   0.0014
  269   -0.0456  -0.0024
  270   -0.0178  -0.0041
  271    0.0182  -0.0182
  272    0.0487  -0.0281
  273    0.0600  -0.0269
  274    0.0437  -0.0072
  275    0.0223   0.0036
  276    0.0067   0.0065
  277    0.0014   0.0031
  278   -0.0022  -0.0041
  279   -0.0098  -0.0139
  280   -0.0158  -0.0046
  281   -0.0079   0.0106
  282    0.0048   0.0125
  283    0.0173   0.0062
  284    0.0154  -0.0034
  285    0.0041  -0.0024
  286   -0.0166  -0.0048
  287   -0.0209  -0.0048
  288   -0.0168   0.0014
  289   -0.0101  -0.0091
  290   -0.0074  -0.0199
  291   -0.0113  -0.0154
  292   -0.0142  -0.0098
  293   -0.0137  -0.0014
  294   -0.0108   0.0082
  295   -0.0005   0.0110
  296    0.0098   0.0029
  297    0.0288  -0.0065
  298    0.0439  -0.0115
  299    0.0446  -0.0146
  300    0.0444  -0.0113
  301    0.0494  -0.0070
  302    0.0583  -0.0089
  303    0.0595   0.0034
  304    0.0401   0.0166
  305    0.0146   0.0245
  306   -0.0034   0.0151
  307   -0.0238   0.0101
  308   -0.0554   0.0125
  309   -0.0679   0.0156
  310   -0.0564   0.0130
  311   -0.0470   0.0118
  312   -0.0394   0.0043
  313   -0.0266  -0.0055
  314   -0.0146   0.0002
  315    0.0041   0.0084
  316    0.0262   0.0031
  317    0.0374   0.0067
  318    0.0420   0.0134
  319    0.0343   0.0134
  320    0.0324   0.0082
  321    0.0250  -0.0096
  322    0.0151  -0.0182
  323    0.0118   0.0034
  324    0.0101   0.0158
  325    0.0137   0.0055
  326    0.0115  -0.0002
  327   -0.0024   0.0055
  328   -0.0197   0.0082
  329   -0.0271   0.0058
  330   -0.0346   0.0029
  331   -0.0403  -0.0082
  332   -0.0401  -0.0146
  333   -0.0290  -0.0089
  334   -0.0233  -0.0067
  335   -0.0127  -0.0060
  336   -0.0053  -0.0002
  337   -0.0065  -0.0034
  338   -0.0173   0.0010
  339   -0.0127   0.0098
  340    0.0074   0.0142
  341    0.0307   0.0101
  342    0.0475   0.0002
  343    0.0566   0.0031
  344    0.0502   0.0012
  345    0.0360  -0.0130
  346    0.0331  -0.0278
  347    0.0252  -0.0223
  348    0.0019  -0.0221
  349   -0.0151  -0.0144
  350   -0.0295  -0.0108
  351   -0.0336  -0.0108
  352   -0.0312  -0.0084
  353   -0.0355  -0.0002
  354   -0.0295  -0.0002
  355   -0.0254  -0.0002
  356   -0.0156  -0.0019
  357   -0.0079  -0.0010
  358   -0.0002   0.0118
  359    0.0067   0.0178
  360    0.0108   0.0108
  361    0.0192   0.0017
  362    0.0122   0.0091
  363    0.0019   0.0079
  364   -0.0034   0.0108
  365   -0.0067   0.0101
  366   -0.0118   0.0043
  367   -0.0094  -0.0007
  368   -0.0005   0.0070
  369    0.0014   0.0106
  370   -0.0125   0.0055
  371   -0.0262  -0.0062
  372   -0.0331  -0.0019
  373   -0.0216   0.0161
  374   -0.0017   0.0247
  375    0.0000   0.0182
  376   -0.0065   0.0065
  377   -0.0127  -0.0106
  378   -0.0158  -0.0113
  379    0.0005   0.0002
  380    0.0151   0.0050
  381    0.0082  -0.0096
  382   -0.0094  -0.0185
  383   -0.0132  -0.0108
  384   -0.0173  -0.0070
  385    0.0005  -0.0137
  386    0.0161  -0.0146
  387    0.0307  -0.0077
  388    0.0391  -0.0218
  389    0.0360  -0.0238
  390    0.0197  -0.0154
  391    0.0048  -0.0108
  392   -0.0146  -0.0125
  393   -0.0235  -0.0221
  394   -0.0257  -0.0350
  395   -0.0118  -0.0432
  396    0.0060  -0.0281
  397    0.0010   0.0005
  398   -0.0134   0.0240
  399   -0.0233   0.0091
  400   -0.0094  -0.0067
  401    0.0079  -0.0204
  402    0.0170  -0.0334
  403    0.0216  -0.0307
  404    0.0077  -0.0050
  405    0.0048   0.0204
  406    0.0163   0.0314
  407    0.0247   0.0218
  408    0.0218   0.0149
  409    0.0048   0.0247
  410   -0.0043   0.0314
  411   -0.0050   0.0137
  412   -0.0094   0.0187
  413   -0.0118   0.0252
  414   -0.0127   0.0118
  415   -0.0180   0.0187
  416   -0.0182   0.0257
  417   -0.0084   0.0281
  418    0.0115   0.0262
  419    0.0245   0.0288
  420    0.0245   0.0079
  421    0.0221  -0.0091
  422    0.0103   0.0036
  423   -0.0022   0.0125
  424    0.0043   0.0254
  425    0.0197   0.0211
  426    0.0278   0.0036
  427    0.0250  -0.0115
  428    0.0194   0.0010
  429    0.0089   0.0202
  430    0.0022   0.0043
  431   -0.0014  -0.0077
  432   -0.0151  -0.0276
  433   -0.0206  -0.0281
  434   -0.0151  -0.0209
  435   -0.0058  -0.0168
  436    0.0182  -0.0199
  437    0.0274  -0.0223
  438    0.0144  -0.0211
  439    0.0024  -0.0202
  440   -0.0074  -0.0194
  441   -0.0127  -0.0026
  442   -0.0173   0.0103
  443   -0.0194   0.0031
  444   -0.0106  -0.0120
  445    0.0043  -0.0274
  446    0.0163  -0.0218
  447    0.0288  -0.0055
  448    0.0322   0.0022
  449    0.0173   0.0010
  450    0.0017   0.0026
  451   -0.0098   0.0046
  452   -0.0170  -0.0041
  453   -0.0166  -0.0026
  454   -0.0158   0.0017
  455   -0.0161   0.0036
  456   -0.0170   0.0086
  457   -0.0115   0.0108
  458   -0.0110   0.0192
  459   -0.0101   0.0300
  460   -0.0055   0.0264
  461   -0.0055   0.0194
  462   -0.0050   0.0065
  463   -0.0058  -0.0082
  464   -0.0062  -0.0118
  465   -0.0041  -0.0060
  466    0.0019   0.0127
  467    0.0058   0.0206
  468    0.0053   0.0118
  469    0.0043   0.0072
  470   -0.0014  -0.0048
  471   -0.0067  -0.0096
  472   -0.0113  -0.0065
  473   -0.0079  -0.0065
  474   -0.0053  -0.0055
  475   -0.0070  -0.0034
  476   -0.0096  -0.0002
  477   -0.0072   0.0002
  478   -0.0022  -0.0014
  479   -0.0012   0.0002
  480    0.0002   0.0014
  481    0.0017   0.0010
  482    0.0007  -0.0002
  483   -0.0007  -0.0014
  484    0.0000  -0.0010
  485    0.0012  -0.0010
  486    0.0012  -0.0019
  487    0.0007  -0.0014
  488    0.0005  -0.0005
  489    0.0002  -0.0002
  490    0.0002  -0.0010
  491    0.0010  -0.0010
  492    0.0012  -0.0010
  493    0.0010  -0.0012
  494    0.0007  -0.0010
  495    0.0007  -0.0007
  496    0.0005  -0.0005
  497    0.0002  -0.0005
  498    0.0002  -0.0002
  499    0.0002  -0.0002
  500    0.0000  -0.0002
  501    0.0000  -0.0002
  502    0.0000   0.0000
  503    0.0000   0.0000
  504    0.0000   0.0000
  505    0.0000   0.0000
  506    0.0000   0.0000
  507    0.0000   0.0000
  508    0.0000   0.0000
  509    0.0000   0.0000
  510    0.0000   0.0000
  511    0.0000   0.0000
  512    0.0000  -0.0002
