Echo A : BASELI~1.DTA   
Time Period: 0.04-20.48msec
   No.  A (mPa)  An (mPa)
  229   -0.0053  -0.0334
  230   -0.0737  -0.0545
  231   -0.1210  -0.0696
  232   -0.1344  -0.0595
  233   -0.1210  -0.0518
  234   -0.0905  -0.0358
  235   -0.0734  -0.0106
  236   -0.0466  -0.0043
  237   -0.0072   0.0043
  238    0.0365   0.0074
  239    0.0857   0.0187
  240    0.1214   0.0358
  241    0.1176   0.0307
  242    0.0941   0.0314
  243    0.0737   0.0427
  244    0.0631   0.0329
  245    0.0540   0.0266
  246    0.0360   0.0326
  247    0.0034   0.0211
  248   -0.0398   0.0098
  249   -0.0686   0.0002
  250   -0.0900  -0.0221
  251   -0.0878  -0.0358
  252   -0.0833  -0.0252
  253   -0.0706  -0.0204
  254   -0.0629  -0.0391
  255   -0.0612  -0.0552
  256   -0.0350  -0.0593
  257   -0.0108  -0.0470
  258    0.0000  -0.0245
  259    0.0098  -0.0046
  260    0.0197   0.0034
  261    0.0286   0.0079
  262    0.0377   0.0187
  263    0.0362   0.0334
  264    0.0242   0.0360
  265    0.0173   0.0293
  266    0.0072   0.0223
  267    0.0091   0.0108
  268    0.0211   0.0115
  269    0.0257   0.0149
  270    0.0346   0.0187
  271    0.0420   0.0221
  272    0.0355   0.0180
  273    0.0307   0.0060
  274    0.0226  -0.0031
  275    0.0014   0.0000
  276   -0.0230   0.0106
  277   -0.0473   0.0041
  278   -0.0545   0.0127
  279   -0.0562   0.0238
  280   -0.0372   0.0002
  281   -0.0048  -0.0187
  282    0.0115  -0.0216
  283    0.0216  -0.0264
  284    0.0362  -0.0166
  285    0.0338  -0.0084
  286    0.0158  -0.0038
  287   -0.0113  -0.0103
  288   -0.0348  -0.0137
  289   -0.0554  -0.0192
  290   -0.0528  -0.0223
  291   -0.0382  -0.0130
  292   -0.0240   0.0031
  293    0.0005   0.0334
  294    0.0199   0.0449
  295    0.0307   0.0240
  296    0.0420   0.0199
  297    0.0569   0.0144
  298    0.0734  -0.0178
  299    0.0811  -0.0245
  300    0.0778  -0.0180
  301    0.0511  -0.0180
  302    0.0185  -0.0072
  303   -0.0067   0.0161
  304   -0.0194   0.0103
