Echo A : BASELI~1.DTA   
Time Period: 0.04-20.48msec
   No.  A (mPa)  An (mPa)
  230    0.0528  -0.0331
  231    0.0468  -0.0442
  232    0.0240  -0.0314
  233   -0.0017  -0.0031
  234   -0.0182   0.0012
  235   -0.0233  -0.0086
  236   -0.0178  -0.0264
  237   -0.0163  -0.0245
  238   -0.0161  -0.0190
  239   -0.0091  -0.0110
  240    0.0029  -0.0101
  241    0.0178  -0.0060
  242    0.0154   0.0022
  243   -0.0067   0.0094
  244   -0.0264   0.0120
  245   -0.0271  -0.0026
  246   -0.0149   0.0002
  247   -0.0007  -0.0058
  248    0.0120  -0.0077
  249    0.0175  -0.0026
  250    0.0089  -0.0055
  251    0.0072  -0.0125
  252   -0.0065  -0.0108
  253   -0.0228   0.0031
  254   -0.0324   0.0007
  255   -0.0247   0.0067
  256   -0.0096   0.0062
  257    0.0062  -0.0086
  258    0.0170  -0.0084
  259    0.0221   0.0014
  260    0.0305   0.0031
  261    0.0437   0.0163
  262    0.0374   0.0156
  263    0.0194  -0.0002
  264   -0.0089  -0.0017
  265   -0.0326   0.0007
  266   -0.0314  -0.0026
  267   -0.0269  -0.0060
  268   -0.0317  -0.0139
  269   -0.0386  -0.0022
  270   -0.0300   0.0206
  271   -0.0050   0.0331
  272    0.0180   0.0314
  273    0.0218   0.0182
  274    0.0264   0.0077
  275    0.0146   0.0151
  276    0.0108   0.0070
  277    0.0286   0.0007
  278    0.0408  -0.0154
  279    0.0370  -0.0382
  280    0.0245  -0.0396
  281    0.0058  -0.0216
  282   -0.0110  -0.0113
  283   -0.0149  -0.0288
  284   -0.0134  -0.0293
  285   -0.0252  -0.0178
  286   -0.0492  -0.0204
  287   -0.0482  -0.0060
  288   -0.0293   0.0002
  289    0.0094   0.0058
  290    0.0413   0.0043
  291    0.0334   0.0043
  292    0.0096  -0.0007
  293   -0.0038  -0.0060
  294   -0.0036  -0.0031
  295   -0.0034   0.0053
  296   -0.0010   0.0058
  297    0.0050   0.0151
  298   -0.0024   0.0322
  299   -0.0005   0.0382
  300    0.0086   0.0432
  301    0.0118   0.0432
  302    0.0017   0.0408
  303   -0.0139   0.0382
  304   -0.0274   0.0216
  305   -0.0216   0.0101
  306   -0.0046   0.0132
  307   -0.0050   0.0089
  308    0.0010  -0.0094
  309   -0.0026  -0.0216
  310   -0.0079  -0.0314
  311   -0.0012  -0.0456
  312    0.0041  -0.0386
  313    0.0012  -0.0199
  314   -0.0010  -0.0046
  315    0.0000  -0.0072
  316    0.0043  -0.0142
  317    0.0137  -0.0437
  318    0.0118  -0.0422
  319   -0.0012  -0.0151
  320    0.0024   0.0046
  321    0.0139   0.0130
  322    0.0132   0.0161
  323   -0.0062  -0.0010
  324   -0.0125  -0.0108
  325   -0.0122  -0.0113
  326   -0.0101   0.0091
  327   -0.0060   0.0017
  328    0.0029  -0.0031
  329   -0.0070   0.0084
  330   -0.0223   0.0228
  331   -0.0278   0.0298
  332   -0.0175   0.0163
  333   -0.0010   0.0149
  334    0.0214   0.0192
  335    0.0326   0.0245
  336    0.0310   0.0211
  337    0.0271   0.0132
  338    0.0238   0.0050
  339    0.0149  -0.0108
  340    0.0096  -0.0182
  341    0.0094  -0.0228
  342    0.0022  -0.0084
  343   -0.0026  -0.0012
  344    0.0022  -0.0046
  345    0.0029  -0.0043
  346   -0.0026   0.0026
  347   -0.0245  -0.0007
  348   -0.0415   0.0014
  349   -0.0415   0.0216
  350   -0.0305   0.0382
  351   -0.0101   0.0422
  352   -0.0014   0.0353
  353    0.0038   0.0178
  354    0.0096  -0.0031
  355    0.0250  -0.0170
  356    0.0312  -0.0360
  357    0.0281  -0.0564
  358    0.0247  -0.0583
  359    0.0218  -0.0564
  360    0.0103  -0.0391
  361    0.0019  -0.0269
  362    0.0012  -0.0394
  363    0.0062  -0.0492
  364    0.0115  -0.0293
  365    0.0106  -0.0113
  366    0.0000   0.0002
  367   -0.0108   0.0178
  368   -0.0185   0.0194
  369   -0.0314   0.0101
  370   -0.0386  -0.0053
  371   -0.0257  -0.0005
  372   -0.0089   0.0130
  373    0.0103   0.0228
  374    0.0108   0.0271
  375    0.0079   0.0214
  376   -0.0029   0.0331
  377   -0.0209   0.0362
  378   -0.0190   0.0264
  379   -0.0031   0.0182
  380    0.0041   0.0300
  381    0.0072   0.0314
  382    0.0163   0.0170
  383    0.0194   0.0082
  384    0.0288  -0.0120
  385    0.0286  -0.0199
  386    0.0175  -0.0010
  387    0.0036   0.0149
  388   -0.0146   0.0122
  389   -0.0276   0.0118
  390   -0.0221  -0.0139
  391   -0.0120  -0.0178
  392   -0.0062  -0.0127
  393   -0.0110  -0.0060
  394   -0.0034   0.0096
  395    0.0077   0.0346
  396    0.0050   0.0346
  397    0.0036   0.0149
  398   -0.0101  -0.0101
  399   -0.0142  -0.0264
  400   -0.0091  -0.0288
  401   -0.0007  -0.0194
  402    0.0060   0.0034
  403    0.0137   0.0182
  404    0.0144   0.0154
  405    0.0108   0.0055
  406   -0.0022   0.0031
  407   -0.0139  -0.0242
  408   -0.0101  -0.0379
  409   -0.0060  -0.0288
  410   -0.0070  -0.0113
  411    0.0043  -0.0012
  412    0.0175   0.0026
  413    0.0118  -0.0026
  414    0.0082   0.0041
  415    0.0012   0.0084
  416   -0.0084   0.0108
  417   -0.0106   0.0101
  418   -0.0106  -0.0017
  419   -0.0062  -0.0178
  420   -0.0017  -0.0161
  421    0.0024   0.0062
  422   -0.0014   0.0223
  423    0.0019   0.0269
  424    0.0125   0.0247
  425    0.0070   0.0079
  426   -0.0005  -0.0079
  427    0.0096  -0.0007
  428    0.0187   0.0034
  429    0.0142  -0.0096
  430    0.0014  -0.0211
  431   -0.0024  -0.0247
  432   -0.0005  -0.0302
  433    0.0005  -0.0286
  434   -0.0067  -0.0271
  435    0.0022  -0.0420
  436    0.0029  -0.0384
  437   -0.0019  -0.0216
  438   -0.0019  -0.0101
  439   -0.0180  -0.0036
  440   -0.0290  -0.0182
  441   -0.0178  -0.0132
  442   -0.0026   0.0070
  443    0.0012   0.0158
  444   -0.0010   0.0137
  445   -0.0125  -0.0060
  446   -0.0019   0.0007
  447    0.0048   0.0108
  448    0.0055   0.0050
  449    0.0070   0.0101
  450    0.0108   0.0146
  451   -0.0012   0.0312
  452   -0.0038   0.0391
  453   -0.0017   0.0360
  454   -0.0043   0.0288
  455   -0.0002   0.0298
  456    0.0067   0.0228
  457    0.0000   0.0091
  458   -0.0089   0.0043
  459   -0.0142   0.0098
  460   -0.0118   0.0192
  461    0.0005   0.0163
  462    0.0178   0.0166
  463    0.0187   0.0058
  464    0.0142  -0.0094
  465    0.0118  -0.0125
  466    0.0055  -0.0125
  467   -0.0026  -0.0079
  468   -0.0019  -0.0072
  469    0.0034  -0.0151
  470    0.0050  -0.0173
  471    0.0036  -0.0096
  472    0.0010  -0.0038
  473    0.0005  -0.0060
  474    0.0005  -0.0086
  475    0.0005  -0.0103
  476    0.0024  -0.0086
  477    0.0007  -0.0041
  478   -0.0024   0.0000
  479   -0.0036   0.0089
  480   -0.0017   0.0084
  481   -0.0019   0.0036
  482    0.0000  -0.0002
  483    0.0005  -0.0048
  484   -0.0005  -0.0050
  485   -0.0007  -0.0019
  486   -0.0002  -0.0017
  487    0.0000  -0.0036
  488   -0.0002  -0.0046
  489   -0.0007  -0.0048
  490   -0.0005  -0.0022
  491   -0.0005   0.0002
  492   -0.0002   0.0002
  493   -0.0002   0.0005
  494   -0.0005   0.0007
  495   -0.0002   0.0005
  496    0.0000   0.0002
  497    0.0000   0.0002
  498    0.0000   0.0000
  499    0.0000   0.0000
  500    0.0000   0.0000
  501    0.0000   0.0000
  502    0.0000   0.0000
  503    0.0000   0.0000
  504    0.0000   0.0000
  505    0.0000   0.0000
  506    0.0000   0.0000
  507    0.0000   0.0000
  508    0.0000   0.0000
  509    0.0000   0.0000
  510    0.0000   0.0000
  511    0.0000   0.0000
  512    0.0000   0.0000
