Echo A : BASELI~1.DTA   
Time Period: 0.04-20.48msec
   No.  A (mPa)  An (mPa)
  229   -0.0310   0.0031
  230   -0.0382  -0.0019
  231   -0.0478   0.0029
  232   -0.0482   0.0022
  233   -0.0533   0.0024
  234   -0.0557  -0.0089
  235   -0.0458  -0.0067
  236   -0.0341  -0.0019
  237   -0.0235   0.0036
  238   -0.0084   0.0034
  239   -0.0110  -0.0010
  240   -0.0108  -0.0026
  241   -0.0077  -0.0012
  242    0.0103  -0.0062
  243    0.0259  -0.0125
  244    0.0302  -0.0043
  245    0.0463   0.0091
  246    0.0631   0.0094
  247    0.0713   0.0002
  248    0.0768   0.0019
  249    0.0758   0.0089
  250    0.0552  -0.0125
  251    0.0276  -0.0346
  252   -0.0113  -0.0240
  253   -0.0430  -0.0250
  254   -0.0655  -0.0173
  255   -0.0763  -0.0072
  256   -0.0574  -0.0187
  257   -0.0408  -0.0108
  258   -0.0372   0.0010
  259   -0.0242  -0.0103
  260   -0.0137  -0.0101
  261   -0.0098   0.0038
  262   -0.0050   0.0197
  263   -0.0017   0.0211
  264    0.0086   0.0209
  265    0.0266   0.0142
  266    0.0374   0.0053
  267    0.0425  -0.0046
  268    0.0482  -0.0120
  269    0.0494  -0.0084
  270    0.0461   0.0137
  271    0.0439   0.0338
  272    0.0324   0.0338
  273    0.0185   0.0144
  274    0.0010  -0.0010
  275   -0.0334   0.0067
  276   -0.0718   0.0084
  277   -0.0989  -0.0014
  278   -0.1147   0.0024
  279   -0.1150   0.0192
  280   -0.1102   0.0221
  281   -0.0926   0.0065
  282   -0.0535  -0.0060
  283   -0.0031  -0.0187
  284    0.0516  -0.0257
  285    0.0977  -0.0146
  286    0.1320  -0.0091
  287    0.1517  -0.0019
  288    0.1541   0.0043
  289    0.1502   0.0079
  290    0.1294   0.0062
  291    0.0862  -0.0014
  292    0.0360  -0.0113
  293   -0.0180  -0.0154
  294   -0.0751  -0.0182
  295   -0.1140  -0.0060
  296   -0.1397   0.0019
  297   -0.1454  -0.0055
  298   -0.1351  -0.0130
  299   -0.1248  -0.0014
  300   -0.1003   0.0079
  301   -0.0672   0.0110
  302   -0.0406  -0.0007
  303   -0.0060   0.0005
  304    0.0288   0.0048
  305    0.0641   0.0096
  306    0.0857   0.0079
  307    0.0924   0.0118
  308    0.1010   0.0223
  309    0.1075   0.0310
  310    0.1054   0.0420
  311    0.1051   0.0401
  312    0.0943   0.0415
  313    0.0701   0.0298
  314    0.0190   0.0194
  315   -0.0365  -0.0158
  316   -0.0713  -0.0254
  317   -0.0878  -0.0055
  318   -0.0946   0.0055
  319   -0.0998  -0.0038
  320   -0.1015  -0.0060
  321   -0.0917  -0.0098
  322   -0.0761  -0.0113
  323   -0.0451  -0.0134
  324   -0.0096  -0.0305
  325    0.0235  -0.0233
  326    0.0538  -0.0089
  327    0.0794  -0.0108
  328    0.1063  -0.0192
  329    0.1032  -0.0142
  330    0.0902  -0.0206
  331    0.0869  -0.0425
  332    0.0607  -0.0396
  333    0.0163  -0.0379
  334   -0.0146  -0.0398
  335   -0.0396  -0.0252
  336   -0.0650  -0.0173
  337   -0.0782  -0.0228
  338   -0.0912  -0.0161
  339   -0.0794   0.0026
  340   -0.0655   0.0120
  341   -0.0437   0.0043
  342   -0.0331   0.0118
  343   -0.0062   0.0170
  344    0.0274   0.0163
  345    0.0574   0.0166
  346    0.0811   0.0058
  347    0.0895   0.0091
  348    0.0768   0.0185
  349    0.0643   0.0269
  350    0.0511   0.0262
  351    0.0276   0.0185
  352    0.0029   0.0163
  353   -0.0170   0.0168
  354   -0.0434   0.0204
  355   -0.0624   0.0223
  356   -0.0703   0.0204
  357   -0.0792   0.0115
  358   -0.0773  -0.0019
  359   -0.0629  -0.0170
  360   -0.0571  -0.0137
  361   -0.0430  -0.0046
  362   -0.0348  -0.0043
  363   -0.0187   0.0046
  364   -0.0031   0.0127
  365   -0.0029  -0.0060
  366    0.0012  -0.0086
  367    0.0110  -0.0010
  368    0.0226  -0.0058
  369    0.0271  -0.0137
  370    0.0374  -0.0120
  371    0.0353  -0.0206
  372    0.0223  -0.0223
  373    0.0235   0.0010
  374    0.0300   0.0144
  375    0.0298   0.0118
  376    0.0199   0.0281
  377    0.0096   0.0350
  378   -0.0067   0.0250
  379   -0.0134   0.0079
  380   -0.0122  -0.0118
  381   -0.0086  -0.0125
  382   -0.0065   0.0010
  383    0.0017   0.0132
  384    0.0062   0.0026
  385    0.0137  -0.0019
  386    0.0067  -0.0137
  387    0.0043  -0.0298
  388    0.0156  -0.0317
  389    0.0209  -0.0154
  390    0.0175   0.0031
  391    0.0197   0.0060
  392    0.0257   0.0002
  393    0.0163  -0.0014
  394    0.0041   0.0252
  395   -0.0034   0.0329
  396   -0.0065   0.0264
  397   -0.0053   0.0175
  398   -0.0125   0.0130
  399   -0.0259   0.0036
  400   -0.0235   0.0002
  401   -0.0173  -0.0010
  402   -0.0158  -0.0115
  403   -0.0185  -0.0132
  404   -0.0074  -0.0007
  405    0.0077   0.0036
  406    0.0161   0.0089
  407    0.0211  -0.0017
  408    0.0156  -0.0266
  409    0.0031  -0.0396
  410   -0.0108  -0.0444
  411   -0.0134  -0.0408
  412    0.0026  -0.0247
  413    0.0074  -0.0130
  414   -0.0038  -0.0166
  415   -0.0204  -0.0182
  416   -0.0185  -0.0252
  417   -0.0091  -0.0288
  418    0.0024  -0.0079
  419    0.0065  -0.0053
  420    0.0002   0.0142
  421    0.0002   0.0182
  422   -0.0005   0.0187
  423    0.0000   0.0149
  424    0.0072   0.0014
