Echo A : BASELI~1.DTA   
Time Period: 0.04-20.48msec
   No.  A (mPa)  An (mPa)
  231   -0.0211  -0.0132
  232   -0.0151  -0.0151
  233    0.0185  -0.0216
  234    0.0650  -0.0286
  235    0.0917  -0.0331
  236    0.0713  -0.0206
  237    0.0098  -0.0146
  238   -0.0461  -0.0113
  239   -0.0713  -0.0149
  240   -0.0710  -0.0108
  241   -0.0761   0.0010
  242   -0.0823  -0.0002
  243   -0.0845   0.0055
  244   -0.0667   0.0204
  245   -0.0058   0.0197
  246    0.0715   0.0046
  247    0.1270  -0.0010
  248    0.1368   0.0038
  249    0.1073   0.0050
  250    0.0612   0.0046
  251    0.0108   0.0158
  252   -0.0142   0.0245
  253   -0.0307   0.0276
  254   -0.0413   0.0158
  255   -0.0461   0.0031
  256   -0.0624   0.0048
  257   -0.0730   0.0084
  258   -0.0631  -0.0010
  259   -0.0420  -0.0077
  260   -0.0115  -0.0046
  261    0.0190   0.0050
  262    0.0516   0.0110
  263    0.0766   0.0038
  264    0.0962   0.0031
  265    0.1104   0.0024
  266    0.0881   0.0022
  267    0.0547   0.0038
  268    0.0166   0.0072
  269   -0.0130   0.0005
  270   -0.0302  -0.0031
  271   -0.0473   0.0086
  272   -0.0658   0.0151
  273   -0.0962   0.0036
  274   -0.1118  -0.0036
  275   -0.1046  -0.0055
  276   -0.0794   0.0019
  277   -0.0271   0.0070
  278    0.0283  -0.0024
  279    0.0785  -0.0014
  280    0.1106  -0.0026
  281    0.1051   0.0026
  282    0.0667   0.0012
  283    0.0158   0.0034
  284   -0.0403   0.0194
  285   -0.0713   0.0175
  286   -0.0794   0.0060
  287   -0.0566   0.0055
  288   -0.0228   0.0065
  289    0.0017   0.0072
  290    0.0082   0.0055
  291    0.0072  -0.0022
  292    0.0067   0.0077
  293    0.0019   0.0034
  294    0.0142  -0.0067
  295    0.0298  -0.0067
  296    0.0362  -0.0120
  297    0.0451  -0.0142
  298    0.0216   0.0079
  299   -0.0060   0.0029
  300   -0.0182  -0.0005
  301   -0.0343   0.0005
  302   -0.0319   0.0043
  303   -0.0130  -0.0012
  304    0.0158  -0.0038
  305    0.0338  -0.0019
  306    0.0353   0.0017
  307    0.0204  -0.0074
  308   -0.0089   0.0048
  309   -0.0226   0.0166
  310   -0.0096   0.0230
  311    0.0168   0.0166
  312    0.0526   0.0065
  313    0.0485   0.0079
  314    0.0240  -0.0036
  315   -0.0094  -0.0026
  316   -0.0372  -0.0031
  317   -0.0590  -0.0137
  318   -0.0629  -0.0247
  319   -0.0439  -0.0235
  320   -0.0317  -0.0178
  321   -0.0235  -0.0089
  322   -0.0103   0.0036
  323    0.0089   0.0130
  324    0.0336   0.0043
  325    0.0588  -0.0125
  326    0.0708  -0.0170
  327    0.0701  -0.0211
  328    0.0403  -0.0118
  329    0.0055   0.0060
  330   -0.0276   0.0086
  331   -0.0475  -0.0017
  332   -0.0427  -0.0094
  333   -0.0240  -0.0031
  334   -0.0132   0.0134
  335   -0.0137   0.0098
  336   -0.0130  -0.0137
